MEAN,MIN,MAX,RANGE
18.176301,21.028290,218.615523,197.587233
16.021965,15.121877,179.538608,164.416731
14.499637,15.374135,188.071540,172.697405
0.010150,29.854956,388.114424,358.259468
0.055727,76.128275,174.007485,97.879210
0.238973,63.402697,134.096704,70.694007
0.017023,57.230797,149.111002,91.880205
0.081259,90.416005,112.819458,22.403452
0.262979,94.153242,105.441865,11.288623
16.005605,17.323433,187.701064,170.377631
1.125142,57.976684,161.858593,103.881909
0.523562,10.861386,284.083513,273.222127
0.038898,9.719960,244.863969,235.144009
8.963556,25.801819,211.445683,185.643864
59.848051,90.066556,132.459565,42.393009
3.526192,25.046237,321.520758,296.474521
0.849383,0.000000,345.479639,345.479639
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
